Epoch,loss,Validation loss,Model,Training,split
0,1.0377472639083862,1.0394960641860962,autocovariance_detector_30s,instance,0
1,0.8966270089149475,0.8283898830413818,autocovariance_detector_30s,instance,0
2,0.7968251705169678,0.7796801924705505,autocovariance_detector_30s,instance,0
3,0.7572147250175476,0.7399507164955139,autocovariance_detector_30s,instance,0
4,0.6640207767486572,0.6307802200317383,autocovariance_detector_30s,instance,0
5,0.5869461894035339,0.5726721882820129,autocovariance_detector_30s,instance,0
6,0.5404130220413208,0.5191245675086975,autocovariance_detector_30s,instance,0
7,0.5010812282562256,0.4980051815509796,autocovariance_detector_30s,instance,0
8,0.4862265288829803,0.4835024178028106,autocovariance_detector_30s,instance,0
9,0.468519926071167,0.4597621560096741,autocovariance_detector_30s,instance,0
10,0.4394559562206268,0.4346629977226257,autocovariance_detector_30s,instance,0
11,0.4233990907669067,0.4248331487178802,autocovariance_detector_30s,instance,0
12,0.4168286621570587,0.4200213551521301,autocovariance_detector_30s,instance,0
13,0.4135153889656067,0.4183079302310943,autocovariance_detector_30s,instance,0
14,0.4113776385784149,0.4158895611763,autocovariance_detector_30s,instance,0
15,0.4071696400642395,0.4063283503055572,autocovariance_detector_30s,instance,0
16,0.3954907059669494,0.4017944931983948,autocovariance_detector_30s,instance,0
17,0.387353777885437,0.3905979692935943,autocovariance_detector_30s,instance,0
18,0.3819259405136108,0.3845257461071014,autocovariance_detector_30s,instance,0
19,0.3782210946083069,0.382672518491745,autocovariance_detector_30s,instance,0
0,1.0462340116500854,1.5622986555099487,autocovariance_detector_30s,instance,1
1,0.924706757068634,0.8556258082389832,autocovariance_detector_30s,instance,1
2,0.8161303400993347,0.7891090512275696,autocovariance_detector_30s,instance,1
3,0.7301794290542603,0.6671999096870422,autocovariance_detector_30s,instance,1
4,0.6211769580841064,0.5946794748306274,autocovariance_detector_30s,instance,1
5,0.5756906270980835,0.5618864297866821,autocovariance_detector_30s,instance,1
6,0.5298498272895813,0.5079082250595093,autocovariance_detector_30s,instance,1
7,0.4920065701007843,0.4809209704399109,autocovariance_detector_30s,instance,1
8,0.4687572419643402,0.4634575843811035,autocovariance_detector_30s,instance,1
9,0.4570484757423401,0.4554710984230041,autocovariance_detector_30s,instance,1
10,0.438064694404602,0.4343214631080627,autocovariance_detector_30s,instance,1
11,0.4242063760757446,0.4224558174610138,autocovariance_detector_30s,instance,1
12,0.4131672978401184,0.4157496988773346,autocovariance_detector_30s,instance,1
13,0.4074331521987915,0.4125700891017914,autocovariance_detector_30s,instance,1
14,0.404524952173233,0.4087855219841003,autocovariance_detector_30s,instance,1
15,0.402290940284729,0.4091962873935699,autocovariance_detector_30s,instance,1
16,0.4006382822990417,0.4066313803195953,autocovariance_detector_30s,instance,1
17,0.3993646800518036,0.4107766449451446,autocovariance_detector_30s,instance,1
18,0.3978630006313324,0.4041265547275543,autocovariance_detector_30s,instance,1
19,0.3879597783088684,0.3971963226795196,autocovariance_detector_30s,instance,1
0,1.044185996055603,3.474483728408813,autocovariance_detector_30s,instance,2
1,0.9271090030670166,0.8426669239997864,autocovariance_detector_30s,instance,2
2,0.8073326945304871,0.7815408706665039,autocovariance_detector_30s,instance,2
3,0.7593724131584167,0.7395275235176086,autocovariance_detector_30s,instance,2
4,0.7084945440292358,0.6404348015785217,autocovariance_detector_30s,instance,2
5,0.5868260264396667,0.5569167733192444,autocovariance_detector_30s,instance,2
6,0.545683741569519,0.5293726921081543,autocovariance_detector_30s,instance,2
7,0.5099362134933472,0.4984133243560791,autocovariance_detector_30s,instance,2
8,0.4740581810474396,0.4566441178321838,autocovariance_detector_30s,instance,2
9,0.4529274404048919,0.451630562543869,autocovariance_detector_30s,instance,2
10,0.447991132736206,0.446315735578537,autocovariance_detector_30s,instance,2
11,0.4397429823875427,0.4285397529602051,autocovariance_detector_30s,instance,2
12,0.4210787117481231,0.4181821048259735,autocovariance_detector_30s,instance,2
13,0.4105656445026397,0.4092142283916473,autocovariance_detector_30s,instance,2
14,0.4063964188098907,0.4077321887016296,autocovariance_detector_30s,instance,2
15,0.4041900038719177,0.4061246514320373,autocovariance_detector_30s,instance,2
16,0.4024902880191803,0.4036608040332794,autocovariance_detector_30s,instance,2
17,0.4009749889373779,0.4018802046775818,autocovariance_detector_30s,instance,2
18,0.3994912207126617,0.4016148149967193,autocovariance_detector_30s,instance,2
19,0.3817853927612304,0.3788992464542389,autocovariance_detector_30s,instance,2
0,1.0456995964050293,1.0249727964401243,autocovariance_detector_30s,instance,3
1,0.9067623019218444,0.8364467024803162,autocovariance_detector_30s,instance,3
2,0.7572064399719238,0.695960283279419,autocovariance_detector_30s,instance,3
3,0.6418808102607727,0.6081657409667969,autocovariance_detector_30s,instance,3
4,0.5894309878349304,0.5821995139122009,autocovariance_detector_30s,instance,3
5,0.5455670952796936,0.5246116518974304,autocovariance_detector_30s,instance,3
6,0.5091487169265747,0.5001780390739441,autocovariance_detector_30s,instance,3
7,0.4856173098087311,0.4762880504131317,autocovariance_detector_30s,instance,3
8,0.4681259095668793,0.4645355343818664,autocovariance_detector_30s,instance,3
9,0.4582785367965698,0.4575608670711517,autocovariance_detector_30s,instance,3
10,0.4436002969741821,0.4400307238101959,autocovariance_detector_30s,instance,3
11,0.4272480309009552,0.423944890499115,autocovariance_detector_30s,instance,3
12,0.4162869453430176,0.4169656336307525,autocovariance_detector_30s,instance,3
13,0.4107212722301483,0.4151037931442261,autocovariance_detector_30s,instance,3
14,0.4073529541492462,0.4172551333904266,autocovariance_detector_30s,instance,3
15,0.4052328169345855,0.41077321767807,autocovariance_detector_30s,instance,3
16,0.4036183655261993,0.4117792844772339,autocovariance_detector_30s,instance,3
17,0.4023255109786987,0.4095799922943115,autocovariance_detector_30s,instance,3
18,0.4012480974197387,0.4117701947689056,autocovariance_detector_30s,instance,3
19,0.4002640843391418,0.410017192363739,autocovariance_detector_30s,instance,3
0,1.042933225631714,1.326298713684082,autocovariance_detector_30s,instance,4
1,0.935645878314972,0.8738856911659241,autocovariance_detector_30s,instance,4
2,0.8079848289489746,0.7335107326507568,autocovariance_detector_30s,instance,4
3,0.6941735744476318,0.6461930871009827,autocovariance_detector_30s,instance,4
4,0.615509569644928,0.5967297554016113,autocovariance_detector_30s,instance,4
5,0.5864219069480896,0.5775265693664551,autocovariance_detector_30s,instance,4
6,0.5539253950119019,0.5367320775985718,autocovariance_detector_30s,instance,4
7,0.5210373401641846,0.5110633969306946,autocovariance_detector_30s,instance,4
8,0.49898162484169,0.4867120385169983,autocovariance_detector_30s,instance,4
9,0.4798803925514221,0.4754400551319122,autocovariance_detector_30s,instance,4
10,0.4662234783172607,0.45817431807518,autocovariance_detector_30s,instance,4
11,0.4479840397834778,0.4425284564495086,autocovariance_detector_30s,instance,4
12,0.433733195066452,0.4259805381298065,autocovariance_detector_30s,instance,4
13,0.4224792122840881,0.4182901084423065,autocovariance_detector_30s,instance,4
14,0.4178719222545624,0.4173226654529571,autocovariance_detector_30s,instance,4
15,0.4126887321472168,0.4101482927799225,autocovariance_detector_30s,instance,4
16,0.4107576310634613,0.4089640378952026,autocovariance_detector_30s,instance,4
17,0.4084567129611969,0.4092673361301422,autocovariance_detector_30s,instance,4
18,0.4048953354358673,0.3988915979862213,autocovariance_detector_30s,instance,4
19,0.3969650566577911,0.3949954211711883,autocovariance_detector_30s,instance,4
0,0.990066945552826,0.904367983341217,autocovariance_detector_30s,stead,0
1,0.8401281237602234,0.8029735088348389,autocovariance_detector_30s,stead,0
2,0.7791878581047058,0.7464703917503357,autocovariance_detector_30s,stead,0
3,0.7250217199325562,0.7043125033378601,autocovariance_detector_30s,stead,0
4,0.6933804154396057,0.68840491771698,autocovariance_detector_30s,stead,0
5,0.6564999222755432,0.6050764918327332,autocovariance_detector_30s,stead,0
6,0.5765901803970337,0.5633947253227234,autocovariance_detector_30s,stead,0
7,0.5506397485733032,0.5361171960830688,autocovariance_detector_30s,stead,0
8,0.5166730880737305,0.5114637613296509,autocovariance_detector_30s,stead,0
9,0.5036432147026062,0.5047838091850281,autocovariance_detector_30s,stead,0
10,0.4979482591152191,0.4970336258411407,autocovariance_detector_30s,stead,0
11,0.4930908381938934,0.4917317628860473,autocovariance_detector_30s,stead,0
12,0.4818029701709747,0.476921945810318,autocovariance_detector_30s,stead,0
13,0.469717800617218,0.4664767980575561,autocovariance_detector_30s,stead,0
14,0.4574509561061859,0.459772914648056,autocovariance_detector_30s,stead,0
15,0.4496091902256012,0.4522066712379455,autocovariance_detector_30s,stead,0
16,0.444945752620697,0.4504359066486358,autocovariance_detector_30s,stead,0
17,0.4412365257740021,0.4462630152702331,autocovariance_detector_30s,stead,0
18,0.438178688287735,0.4472502171993255,autocovariance_detector_30s,stead,0
19,0.4355478286743164,0.4439339637756347,autocovariance_detector_30s,stead,0
0,1.041149377822876,0.9691457152366638,autocovariance_detector_30s,stead,1
1,0.9010319709777832,0.8390487432479858,autocovariance_detector_30s,stead,1
2,0.7908799052238464,0.7624198794364929,autocovariance_detector_30s,stead,1
3,0.6989917755126953,0.6646136045455933,autocovariance_detector_30s,stead,1
4,0.6256981492042542,0.6052246689796448,autocovariance_detector_30s,stead,1
5,0.5777784585952759,0.5495972633361816,autocovariance_detector_30s,stead,1
6,0.5294628143310547,0.5175374746322632,autocovariance_detector_30s,stead,1
7,0.5117232203483582,0.5099425315856934,autocovariance_detector_30s,stead,1
8,0.5060453414916992,0.5001596808433533,autocovariance_detector_30s,stead,1
9,0.4887207448482513,0.4803557097911834,autocovariance_detector_30s,stead,1
10,0.4701958894729614,0.465705394744873,autocovariance_detector_30s,stead,1
11,0.4621879756450653,0.4613536298274994,autocovariance_detector_30s,stead,1
12,0.4590961039066314,0.4589067101478576,autocovariance_detector_30s,stead,1
13,0.4566605389118194,0.45699542760849,autocovariance_detector_30s,stead,1
14,0.4547863006591797,0.4559706747531891,autocovariance_detector_30s,stead,1
15,0.4531903564929962,0.4545417726039886,autocovariance_detector_30s,stead,1
16,0.4518108069896698,0.4541541039943695,autocovariance_detector_30s,stead,1
17,0.4505701959133148,0.4528872668743133,autocovariance_detector_30s,stead,1
18,0.4495710432529449,0.4534896910190582,autocovariance_detector_30s,stead,1
19,0.4486992359161377,0.4541800320148468,autocovariance_detector_30s,stead,1
0,1.0255497694015503,0.9353486895561218,autocovariance_detector_30s,stead,2
1,0.8523280024528503,0.7736428380012512,autocovariance_detector_30s,stead,2
2,0.7159808874130249,0.6578933000564575,autocovariance_detector_30s,stead,2
3,0.6252161860466003,0.5970770120620728,autocovariance_detector_30s,stead,2
4,0.5636025071144104,0.5257919430732727,autocovariance_detector_30s,stead,2
5,0.5189756155014038,0.5126560926437378,autocovariance_detector_30s,stead,2
6,0.5077700614929199,0.482353925704956,autocovariance_detector_30s,stead,2
7,0.4755332469940185,0.4693261384963989,autocovariance_detector_30s,stead,2
8,0.4687136113643646,0.4656540155410766,autocovariance_detector_30s,stead,2
9,0.4654581546783447,0.4635300636291504,autocovariance_detector_30s,stead,2
10,0.4630990028381347,0.4617763757705688,autocovariance_detector_30s,stead,2
11,0.4611630439758301,0.4602623283863067,autocovariance_detector_30s,stead,2
12,0.459447294473648,0.4587266743183136,autocovariance_detector_30s,stead,2
13,0.4578153491020202,0.4572757184505462,autocovariance_detector_30s,stead,2
14,0.4560060501098633,0.4528412222862243,autocovariance_detector_30s,stead,2
15,0.4395160377025604,0.4309819638729095,autocovariance_detector_30s,stead,2
16,0.4277413189411163,0.4251163899898529,autocovariance_detector_30s,stead,2
17,0.4224148094654083,0.4205799400806427,autocovariance_detector_30s,stead,2
18,0.4198490977287292,0.4187061786651611,autocovariance_detector_30s,stead,2
19,0.4182198345661163,0.4176439046859741,autocovariance_detector_30s,stead,2
0,1.019496202468872,0.9284330010414124,autocovariance_detector_30s,stead,3
1,0.8373505473136902,0.7632203698158264,autocovariance_detector_30s,stead,3
2,0.7093344926834106,0.6500638127326965,autocovariance_detector_30s,stead,3
3,0.62200927734375,0.609329879283905,autocovariance_detector_30s,stead,3
4,0.5662821531295776,0.5251453518867493,autocovariance_detector_30s,stead,3
5,0.503419816493988,0.4842095673084259,autocovariance_detector_30s,stead,3
6,0.4776044487953186,0.4731736481189728,autocovariance_detector_30s,stead,3
7,0.4706920087337494,0.4686911106109619,autocovariance_detector_30s,stead,3
8,0.465924859046936,0.4599237442016601,autocovariance_detector_30s,stead,3
9,0.4554131329059601,0.4488382041454315,autocovariance_detector_30s,stead,3
10,0.4439335167407989,0.4378291666507721,autocovariance_detector_30s,stead,3
11,0.4349864423274994,0.4317034780979156,autocovariance_detector_30s,stead,3
12,0.4297327995300293,0.4282416999340057,autocovariance_detector_30s,stead,3
13,0.4269540905952453,0.4258922934532165,autocovariance_detector_30s,stead,3
14,0.4252663254737854,0.4237414896488189,autocovariance_detector_30s,stead,3
15,0.4239197671413421,0.4225804209709167,autocovariance_detector_30s,stead,3
16,0.4227643311023712,0.4216609895229339,autocovariance_detector_30s,stead,3
17,0.4217138886451721,0.4204246401786804,autocovariance_detector_30s,stead,3
18,0.4205848276615143,0.4192981123924255,autocovariance_detector_30s,stead,3
19,0.4148066937923431,0.4094144701957702,autocovariance_detector_30s,stead,3
0,1.0427263975143433,0.973877489566803,autocovariance_detector_30s,stead,4
1,0.9071755409240724,0.8312522768974304,autocovariance_detector_30s,stead,4
2,0.7836909294128418,0.7226027846336365,autocovariance_detector_30s,stead,4
3,0.6846194863319397,0.6494570970535278,autocovariance_detector_30s,stead,4
4,0.6235878467559814,0.6084422469139099,autocovariance_detector_30s,stead,4
5,0.5813438892364502,0.5454943180084229,autocovariance_detector_30s,stead,4
6,0.5237269997596741,0.5138415098190308,autocovariance_detector_30s,stead,4
7,0.5101497769355774,0.5088042616844177,autocovariance_detector_30s,stead,4
8,0.5067132711410522,0.5063591599464417,autocovariance_detector_30s,stead,4
9,0.5043818354606628,0.5040556192398071,autocovariance_detector_30s,stead,4
10,0.4925981163978576,0.47817063331604,autocovariance_detector_30s,stead,4
11,0.4692297875881195,0.4654954969882965,autocovariance_detector_30s,stead,4
12,0.463189035654068,0.4628586173057556,autocovariance_detector_30s,stead,4
13,0.4611492753028869,0.4615248739719391,autocovariance_detector_30s,stead,4
14,0.4598036706447601,0.4624615013599396,autocovariance_detector_30s,stead,4
15,0.4586533010005951,0.461272656917572,autocovariance_detector_30s,stead,4
16,0.4576869010925293,0.4615598618984222,autocovariance_detector_30s,stead,4
17,0.456809788942337,0.4597560465335846,autocovariance_detector_30s,stead,4
18,0.45613893866539,0.4597899615764618,autocovariance_detector_30s,stead,4
19,0.4553845524787903,0.4575128257274627,autocovariance_detector_30s,stead,4
0,6.710466384887695,5.087118148803711,ensemble5_cross_covariance_detector30s,instance,0
1,4.392850399017334,3.895423650741577,ensemble5_cross_covariance_detector30s,instance,0
2,3.4441516399383545,3.026773452758789,ensemble5_cross_covariance_detector30s,instance,0
3,2.7298831939697266,2.541710138320923,ensemble5_cross_covariance_detector30s,instance,0
4,2.5170445442199707,2.5372588634490967,ensemble5_cross_covariance_detector30s,instance,0
5,2.5036869049072266,2.5913350582122803,ensemble5_cross_covariance_detector30s,instance,0
6,2.550170421600342,2.7213387489318848,ensemble5_cross_covariance_detector30s,instance,0
7,2.594543933868408,2.50928258895874,ensemble5_cross_covariance_detector30s,instance,0
8,2.5729804039001465,2.7035021781921387,ensemble5_cross_covariance_detector30s,instance,0
9,2.889794111251831,2.8220603466033936,ensemble5_cross_covariance_detector30s,instance,0
10,2.857309579849243,3.04205322265625,ensemble5_cross_covariance_detector30s,instance,0
11,2.8174378871917725,2.7421529293060303,ensemble5_cross_covariance_detector30s,instance,0
12,2.864131450653076,3.058577060699463,ensemble5_cross_covariance_detector30s,instance,0
13,3.299943447113037,3.360516309738159,ensemble5_cross_covariance_detector30s,instance,0
14,3.4411442279815674,3.420248031616211,ensemble5_cross_covariance_detector30s,instance,0
0,6.78729248046875,5.167242527008057,ensemble5_cross_covariance_detector30s,instance,1
1,4.512545108795166,3.944193601608277,ensemble5_cross_covariance_detector30s,instance,1
2,3.542242765426636,3.108626127243042,ensemble5_cross_covariance_detector30s,instance,1
3,2.8850386142730717,2.802772045135498,ensemble5_cross_covariance_detector30s,instance,1
4,2.653923988342285,2.6736440658569336,ensemble5_cross_covariance_detector30s,instance,1
5,2.513519287109375,2.492992401123047,ensemble5_cross_covariance_detector30s,instance,1
6,2.4489169120788574,2.524529457092285,ensemble5_cross_covariance_detector30s,instance,1
7,2.618562936782837,2.653728008270264,ensemble5_cross_covariance_detector30s,instance,1
8,2.6932733058929443,2.739174127578736,ensemble5_cross_covariance_detector30s,instance,1
9,2.844426155090332,2.776515007019043,ensemble5_cross_covariance_detector30s,instance,1
10,2.8595309257507324,2.7861111164093018,ensemble5_cross_covariance_detector30s,instance,1
11,2.948098659515381,2.90376877784729,ensemble5_cross_covariance_detector30s,instance,1
12,3.0030128955841064,3.039118766784668,ensemble5_cross_covariance_detector30s,instance,1
13,3.269174814224243,3.2143826484680176,ensemble5_cross_covariance_detector30s,instance,1
14,3.3108513355255127,3.262028455734253,ensemble5_cross_covariance_detector30s,instance,1
0,6.702702045440674,5.27764368057251,ensemble5_cross_covariance_detector30s,instance,2
1,4.62795877456665,4.049412727355957,ensemble5_cross_covariance_detector30s,instance,2
2,3.605555295944214,3.049015045166016,ensemble5_cross_covariance_detector30s,instance,2
3,2.851473331451416,2.673344612121582,ensemble5_cross_covariance_detector30s,instance,2
4,2.618880271911621,2.633603811264038,ensemble5_cross_covariance_detector30s,instance,2
5,2.529584646224976,2.461144208908081,ensemble5_cross_covariance_detector30s,instance,2
6,2.503509998321533,2.374842405319214,ensemble5_cross_covariance_detector30s,instance,2
7,2.370367765426636,2.2059266567230225,ensemble5_cross_covariance_detector30s,instance,2
8,2.2794151306152344,2.1614232063293457,ensemble5_cross_covariance_detector30s,instance,2
9,2.330980062484741,2.181935787200928,ensemble5_cross_covariance_detector30s,instance,2
10,2.368543863296509,2.257276058197021,ensemble5_cross_covariance_detector30s,instance,2
11,2.481330394744873,2.349032402038574,ensemble5_cross_covariance_detector30s,instance,2
12,2.52590012550354,2.482933759689331,ensemble5_cross_covariance_detector30s,instance,2
13,2.632535696029663,2.502063512802124,ensemble5_cross_covariance_detector30s,instance,2
14,2.666761875152588,2.5895345211029053,ensemble5_cross_covariance_detector30s,instance,2
0,6.860326290130615,5.221289157867432,ensemble5_cross_covariance_detector30s,instance,3
1,4.598516464233398,4.141973495483398,ensemble5_cross_covariance_detector30s,instance,3
2,3.666002035140991,3.216228723526001,ensemble5_cross_covariance_detector30s,instance,3
3,3.049717664718628,3.0121214389801025,ensemble5_cross_covariance_detector30s,instance,3
4,2.9362752437591557,2.645637989044189,ensemble5_cross_covariance_detector30s,instance,3
5,2.5305163860321045,2.5084774494171143,ensemble5_cross_covariance_detector30s,instance,3
6,2.6193885803222656,2.6210711002349854,ensemble5_cross_covariance_detector30s,instance,3
7,2.595300436019897,2.499101161956787,ensemble5_cross_covariance_detector30s,instance,3
8,2.571986436843872,2.453681707382202,ensemble5_cross_covariance_detector30s,instance,3
9,2.568472623825073,2.568422555923462,ensemble5_cross_covariance_detector30s,instance,3
10,2.667583465576172,2.710448741912842,ensemble5_cross_covariance_detector30s,instance,3
11,2.767939805984497,2.6957807540893555,ensemble5_cross_covariance_detector30s,instance,3
12,2.6914870738983154,2.630956649780273,ensemble5_cross_covariance_detector30s,instance,3
13,2.724230527877808,2.729618787765503,ensemble5_cross_covariance_detector30s,instance,3
14,2.7870302200317383,2.753152370452881,ensemble5_cross_covariance_detector30s,instance,3
0,6.828681468963623,5.279176235198975,ensemble5_cross_covariance_detector30s,instance,4
